"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000255426",12.4353381348225,0.631977117559581,0.252098287597778,2.50686795051896,0.0121806207097133,0.0933175203374551,NA
"ENSG00000175467",147.992770664532,0.267475241462162,0.0998824594671257,2.67790003258976,0.00740853261204636,0.0668811146325493,"SART1"
"ENSG00000174791",26.5963844460529,0.706563748791103,0.205165984703985,3.44386400021689,0.000573464083458566,0.0110179903687104,"RIN1"
"ENSG00000075239",2300.02904310821,-0.368835255096191,0.0946158338291304,-3.89824028568286,9.68942460307809e-05,0.00294879845154768,"ACAT1"
"ENSG00000168092",358.900455228318,-0.195177375857687,0.0788950033373903,-2.47388766843727,0.0133651712756014,0.0985967131543751,"PAFAH1B2"
"ENSG00000149591",281.095889147857,-1.08024162742015,0.326206507485969,-3.31152690896769,0.000927883156729708,0.0156650073336717,"TAGLN"
"ENSG00000167257",156.273837521648,0.207738090171698,0.0798056506668243,2.60304988977498,0.00923985069131752,0.0771850665499662,"RNF214"
"ENSG00000134817",149.893704172046,0.297690878106693,0.116398374538357,2.5575174849937,0.0105422257962989,0.084014600169242,"APLNR"
"ENSG00000110090",111.786569999411,-0.73734045353877,0.16496121678154,-4.46978064253271,7.8299858860617e-06,0.000401167624701526,"CPT1A"
"ENSG00000197345",217.141639436606,-0.205688984073553,0.0730860719086657,-2.81433902112838,0.00488776510933584,0.0504945272195326,"MRPL21"
"ENSG00000162298",135.728834304946,0.279046881427867,0.111816107792373,2.49558750467346,0.0125748735744432,0.0952328471730328,"SYVN1"
"ENSG00000175582",882.148546987934,-0.19615444633997,0.0658328508220692,-2.97958304844081,0.00288640975182149,0.0351863301884115,"RAB6A"
"ENSG00000166741",105.582225513092,-0.920846103390056,0.326412347680736,-2.8211129570709,0.00478573483082489,0.0497896697290528,"NNMT"
"ENSG00000175581",137.313584886333,-0.244486067293503,0.0963173862589996,-2.53833785144537,0.0111380402877132,0.087773517666348,"MRPL48"
"ENSG00000256514",115.184112956496,-0.237530179930303,0.0853008890599883,-2.78461552450243,0.00535912266723063,0.0538226433329367,NA
"ENSG00000133800",117.336912946589,-0.664365315894705,0.175399797727982,-3.78771996604599,0.000152036066847207,0.00412809449706793,"LYVE1"
"ENSG00000110321",5657.25412780664,-0.145902983761606,0.0550245631047384,-2.65159731452809,0.00801120233018682,0.070380721863013,"EIF4G2"
"ENSG00000250041",411.962536470586,-0.25945832686351,0.0921530276587707,-2.81551603300812,0.00486989669206583,0.0503982985532527,NA
"ENSG00000167283",900.991941927991,-0.325516814582766,0.0873598828780805,-3.72615900867287,0.000194419783385685,0.00499500594640314,"ATP5MG"
"ENSG00000178202",121.327579035257,-0.354304575676982,0.0970885521701715,-3.64929301918085,0.000262963018740407,0.00623910646879925,"POGLUT3"
"ENSG00000173153",760.86097008784,-0.258301334434248,0.0837534832105817,-3.08406676991332,0.0020419176265237,0.0273017669942761,"ESRRA"
"ENSG00000174547",248.131230144155,-0.235971936788996,0.076191160202839,-3.09710386560308,0.00195421389099186,0.0265712959516709,"MRPL11"
"ENSG00000174516",93.0486506104178,0.304286868554461,0.114024791882806,2.66860270937573,0.00761674864258269,0.0681344377562204,"PELI3"
"ENSG00000213619",900.635503108292,-0.194339072843457,0.0712742027686308,-2.72663972790152,0.00639828562605603,0.0608698044812521,"NDUFS3"
"ENSG00000255444",13.1401150168493,-0.911408463021809,0.264234401588993,-3.44924225438091,0.000562162118228835,0.0108836556427304,NA
"ENSG00000174080",565.01369334715,0.243798027208177,0.0757478412027108,3.21854753003116,0.0012884161563745,0.0196497359621015,"CTSF"
"ENSG00000149150",152.759663962726,0.469126911598035,0.139322000701806,3.36721342813702,0.000759318981435824,0.0134217223158596,"SLC43A1"
"ENSG00000213593",232.533804659741,-0.384489479729782,0.0910101362440466,-4.2246885412715,2.39271461403887e-05,0.000981290568857335,"TMX2"
"ENSG00000149575",94.9106433895907,-0.493750889249567,0.112618248325947,-4.38428848422967,1.16365483371635e-05,0.000555912509210005,"SCN2B"
"ENSG00000168056",214.9248896677,0.4204233849143,0.162354657968158,2.58953694446361,0.00961051098287361,0.0794181356396793,"LTBP3"
"ENSG00000172757",381.849066160708,-0.284356304196088,0.109931688691415,-2.58666365977778,0.00969101363783297,0.0797849823299187,"CFL1"
"ENSG00000165323",55.9339572509534,0.891175626546564,0.195268794845238,4.56384046028897,5.02262526591206e-06,0.000282738612102744,"FAT3"
"ENSG00000129744",219.282569253663,0.271987994346969,0.10065341407885,2.7022232364011,0.00688775003565153,0.0638928458431498,"ART1"
"ENSG00000167323",707.172469755147,0.232615167941022,0.0874918042120624,2.65870809312847,0.00784408928890291,0.0693287621185838,"STIM1"
"ENSG00000137502",374.452796793204,0.386450703024477,0.124118179420404,3.11357050859987,0.00184838339204799,0.0255250194045628,"RAB30"
"ENSG00000166257",78.9015900116577,-0.452924614800224,0.152109087126341,-2.97763022155294,0.00290486215181639,0.0352895830896952,"SCN3B"
"ENSG00000171202",155.762378231123,-0.429075046001253,0.119291788785139,-3.59685314782292,0.000322090200440679,0.00726999728310079,"TMEM126A"
"ENSG00000150672",92.2408703918433,0.285831204232777,0.102867960166863,2.77862226264747,0.0054589965271716,0.0545476747089402,"DLG2"
"ENSG00000151365",77.3184862838398,1.03715759852583,0.22421832230738,4.6256594369839,3.73408431087528e-06,0.000222985386077809,"THRSP"
"ENSG00000151366",865.063608052074,-0.148820738343864,0.0560972510747023,-2.65290607815499,0.00798020727375174,0.0702830811015625,"NDUFC2"
"ENSG00000166333",391.048783801503,-0.152022702742344,0.0573865886716928,-2.64909809523723,0.00807069019953432,0.0706219381801323,"ILK"
"ENSG00000137474",40.5278810900529,0.971535081101672,0.175721058173525,5.52884834179795,3.22339848963736e-08,4.12875302194421e-06,"MYO7A"
"ENSG00000170325",148.555812040592,0.283150551685379,0.096257446017557,2.94159634812806,0.00326525247688092,0.0382522505855306,"PRDM10"
"ENSG00000175348",204.818782141187,-0.247683915247204,0.0963798523920488,-2.56987232393435,0.0101736002351646,0.0821885547334414,"TMEM9B"
"ENSG00000278615",46.1866724598628,-0.352886551418829,0.131037856333081,-2.69301224313254,0.00708096687394483,0.0650874521392869,"C11orf98"
"ENSG00000162194",57.816520650355,-0.287502101317966,0.115285401512197,-2.49382920601226,0.0126373335763179,0.0953649397158202,"LBHD1"
"ENSG00000150768",1047.90522582035,-0.30891804735726,0.0957848769450369,-3.22512339327348,0.00125918384015593,0.0193206020473926,"DLAT"
"ENSG00000196655",131.054500979978,-0.256513966427368,0.0862856263130535,-2.9728470127424,0.0029505147544276,0.0355995213646842,"TRAPPC4"
"ENSG00000137700",411.433851596076,0.311568406384451,0.086121032166501,3.61779693701399,0.000297121360886933,0.00684734964150903,"SLC37A4"
"ENSG00000179532",133.16004227371,0.337363680984299,0.116837039052917,2.88747201845386,0.0038835114658467,0.043091618750977,"DNHD1"
"ENSG00000137504",569.833154149091,0.146478637945595,0.0557386144413176,2.62795620978002,0.00858995727824635,0.0735996533447807,"CREBZF"
"ENSG00000166387",341.905610054709,0.302669507240396,0.0657354623938595,4.60435655608425,4.13743077204472e-06,0.000242163001081664,"PPFIBP2"
"ENSG00000137656",93.6922308534267,0.308841289658457,0.0951319232993875,3.24645270427793,0.00116852862055671,0.0184971330175227,"BUD13"
"ENSG00000239306",246.260217592344,0.313929308447999,0.113769386014214,2.75934783025706,0.00579168532248404,0.0564981555478246,"RBM14"
"ENSG00000134909",218.305140968088,0.395124297977274,0.0881793705226535,4.48091538457701,7.43235755912823e-06,0.00038868151542944,"ARHGAP32"
"ENSG00000260966",49.3416016830273,0.486516468863167,0.135272714778346,3.59656024986532,0.000322452923169892,0.00726999728310079,NA
"ENSG00000110435",912.38423290098,-0.335392225117159,0.103821276671621,-3.23047679502131,0.00123583935792811,0.0191284557712235,"PDHX"
"ENSG00000214872",2094.16271700944,-0.490825918601707,0.107764170774283,-4.55462993938648,5.24778785240139e-06,0.000293542989023105,"SMTNL1"
"ENSG00000170322",225.518098140169,0.193087865156518,0.0775404076026444,2.49015798505981,0.0127686323056151,0.095818187601575,"NFRKB"
"ENSG00000110693",1168.22802966985,0.363014151084595,0.104612501209922,3.47008385122299,0.000520295907989925,0.0103418567292601,"SOX6"
"ENSG00000151240",706.291027561745,0.251400935150113,0.101716888107073,2.47157517132725,0.0134519266759865,0.0989466963471227,"DIP2C"
"ENSG00000233117",49.6032031138501,-1.13329540463689,0.24201304736777,-4.68278639091184,2.83001384189355e-06,0.000177945112513497,NA
"ENSG00000151465",179.437420379452,-0.220262895220983,0.0720842839158845,-3.05562992729467,0.00224588272077796,0.0292328593317167,"CDC123"
"ENSG00000165629",1662.20775884318,-0.386042172563526,0.0976382529842097,-3.95380049073551,7.69195550017864e-05,0.00244537779534456,"ATP5F1C"
"ENSG00000223784",82.3766500463576,-0.581810442734043,0.134312628952572,-4.33176274838228,1.47920286972755e-05,0.000675617310731375,NA
"ENSG00000170525",2680.87992118174,1.6891517905715,0.314089506075,5.37793131543897,7.53465478476575e-08,8.321681622613e-06,"PFKFB3"
"ENSG00000148450",263.406099408916,-0.226110187481221,0.077020340633192,-2.93572042946507,0.0033277408659124,0.038851484508499,"MSRB2"
"ENSG00000122873",618.356979044413,-0.219015868693263,0.0738642809288169,-2.96511203980079,0.0030257271220136,0.0363087254641632,"CISD1"
"ENSG00000266524",13.4989687792202,-0.979753446337547,0.262454131101356,-3.7330463888152,0.000189177736392933,0.0048887509773121,"GDF10"
"ENSG00000099250",893.938605144331,-0.369062320136039,0.0825533220442638,-4.47059319960684,7.80029426013494e-06,0.000400808143436468,"NRP1"
"ENSG00000148484",210.861731362676,-0.275434030847602,0.0852893855470986,-3.22940573531863,0.00124047767974624,0.0191554991731556,"RSU1"
"ENSG00000227877",287.721038311607,-0.421743050586541,0.144408779972578,-2.920480670681,0.00349491876728852,0.0402429864930214,"MRLN"
"ENSG00000156026",766.81855422568,-0.346969536941628,0.0903698663815703,-3.83943841940202,0.000123316054014164,0.00357920290764262,"MCU"
"ENSG00000122359",1151.36653211113,-0.344914524140107,0.103645479610777,-3.32782988158647,0.000875252960507294,0.0149189694599103,"ANXA11"
"ENSG00000165678",2070.53543357451,-0.284582603786477,0.102179989797083,-2.78511090431329,0.00535094176928446,0.0537710328106152,"GHITM"
"ENSG00000226051",18.2157591360542,-0.660026115441986,0.246159732204018,-2.68129197871792,0.00733384954790768,0.0665809576830078,"ZNF503-AS1"
"ENSG00000151208",231.055292024674,0.307977240442135,0.102549404525548,3.00320847173139,0.00267149362113386,0.0331843438138876,"DLG5"
"ENSG00000138119",119.548452148684,-0.391287671121051,0.15131685177218,-2.58588297693483,0.00971299012088817,0.0798914906360257,"MYOF"
"ENSG00000107771",1395.85257468152,-0.22070408884903,0.0881360577920705,-2.50412934703424,0.0122753148336857,0.0938046095923863,"CCSER2"
"ENSG00000107796",329.891071454735,-1.00439898149887,0.326945755233722,-3.07206613152343,0.00212582622456132,0.0280837850114692,"ACTA2"
"ENSG00000148572",152.285448340171,-0.497486601547837,0.179354498312218,-2.77376149597218,0.00554122865141098,0.0550461455792048,"NRBF2"
"ENSG00000107551",223.105031830525,-0.218100538277518,0.0707252631999893,-3.08377132031021,0.00204394639432507,0.0273082361799622,"RASSF4"
"ENSG00000165887",1000.33023506593,-1.14728438027718,0.234639931319878,-4.88955300073421,1.01065209568861e-06,7.66707572677763e-05,"ANKRD2"
"ENSG00000198060",165.629849074509,-0.241027823762166,0.0858609893079223,-2.80718665956399,0.00499762736425294,0.051419127642919,"MARCHF5"
"ENSG00000107864",688.184308588595,0.322292935933282,0.0768822672963515,4.19203214560475,2.76466810255227e-05,0.00109570119687699,"CPEB3"
"ENSG00000122863",122.913224128713,-0.669757865764248,0.196153152392561,-3.41446394103247,0.000639076522033641,0.0119285286203449,"CHST3"
"ENSG00000099194",443.94256866182,1.60738684902472,0.519662408862974,3.09313666259159,0.0019805290758457,0.0267599413376721,"SCD"
"ENSG00000272983",22.4916207403319,0.542102190434581,0.217365929148772,2.49396118590209,0.0126326357421455,0.0953649397158202,NA
"ENSG00000241935",15.5092880978167,-0.877098896614333,0.281325434706509,-3.11773763907754,0.00182244957650407,0.0253052778588263,"HOGA1"
"ENSG00000148834",262.817968846187,-0.407535545574479,0.0837420300842508,-4.86655918377507,1.13557928134828e-06,8.41556284982391e-05,"GSTO1"
"ENSG00000165886",59.9744863586616,0.383289842331619,0.143695136262481,2.66738215572921,0.00764446927699369,0.0682695870867707,"UBTD1"
"ENSG00000120053",1816.01949277825,-0.548953226245887,0.0747311162373272,-7.34571158421546,2.04667281775448e-13,1.39142264333185e-10,"GOT1"
"ENSG00000119929",1145.3972294405,-0.647980780521962,0.110754055400161,-5.85062802604176,4.89720339722652e-09,9.01697575514333e-07,"CUTC"
"ENSG00000052749",202.134092706486,-0.418215681769684,0.151270923224764,-2.7646799057892,0.00569786776267042,0.0560127546229011,"RRP12"
"ENSG00000166169",188.893396464696,0.337918545829567,0.082357325196587,4.10307820249085,4.07689369447087e-05,0.00147973661074881,"POLL"
